criteria_id,query,title,snippet,url,source_domain,is_remate,remate_stage,risk_level,include,confidence,reason,red_flags,created_at
criteria_0_938c98610b,"site:inmuebles24.com ""portales"" ""remate""","21 Departamentos con bodega en Portales Sur, Benito ...","95 m² lote3 rec.2 baños1 estac. Calz. de Tlalpan 1434. Portales Oriente, Benito Juárez. ¡temporada mundialista más hogar bienes raíces! Remate hipotecario.",https://inmuebles24.com/departamentos-en-portales-sur-ciudad-de-benito-juarez-con-bodega.html,inmuebles24.com,True,unknown,unknown,False,0.0,"Listing mentions 'remate hipotecario' but provides no clear information about legal stage, possession, or escriturado status.",legal stage unclear|no possession info|not enough evidence,2026-06-28 03:48:04.564593
criteria_0_938c98610b,"site:inmuebles24.com ""portales"" ""remate""","157 Departamentos en Portales Sur, Benito Juárez","Avenida Pirineos no. Portales Sur, Benito Juárez. Acceso a documentación legal previo a cualquier pago. Remate inmobiliario, gran oportunidad de inversión muy ...",https://inmuebles24.com/departamentos-en-portales-sur-ciudad-de-benito-juarez.html,inmuebles24.com,True,unknown,unknown,False,0.0,"Insufficient information about legal stage, possession, or escriturado status; only mentions 'remate inmobiliario' and access to legal documentation.",legal stage unclear|not enough evidence,2026-06-28 03:48:06.755415
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Los Portales - Santa Catarina,"**Remate Ver 1 foto · Yesenet Urbina. premium. Casa en Fraccionamiento en Venta en Adolfo Lopez Mateos. A 1.33 Km de Los Portales. Adolfo Lopez Mateos, Santa ...",https://lamudi.com.mx/nuevo-leon/santa-catarina-1/los-portales-9/foreclosures/for-sale,lamudi.com.mx,False,unknown,unknown,False,0.9,No clear evidence that the listing is a remate or adjudicated property with clear legal stage or possession status.,legal stage unclear|not enough evidence,2026-06-28 03:48:10.228081
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""","Casas en Venta en Remates Bancarios en Los Portales, ...","Casa en Remate en Los Portales, F-382 Ver 17 fotos · Casa en Venta en Villa ...",https://lamudi.com.mx/mexico/tultitlan/los-portales-8/foreclosures/casa/for-sale,lamudi.com.mx,False,unknown,unknown,False,0.9,"No detailed listing text available to confirm remate status, legal clarity, or possession status.",legal stage unclear|not enough evidence,2026-06-28 03:48:11.882241
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Los Portales - Tlaquepaque,"A Flores - Recuperación de Cartera ARSIM. premium. Casa en Fraccionamiento en Venta en Los Portales. Los Portales, Tlaquepaque, Jalisco ... Casa en Remate ...",https://lamudi.com.mx/jalisco/tlaquepaque/los-portales-4/foreclosures/for-sale,lamudi.com.mx,False,unknown,unknown,False,0.0,"No detailed listing text available to confirm remate status, legal clarity, or possession; only a generic mention of 'Casa en Remate' without further evidence.",legal stage unclear|not enough evidence,2026-06-28 03:48:13.920396
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Inmuebles en Venta en Remates Bancarios en Portales ...,"Inmuebles en Venta en Remates Bancarios en Portales, Benito Juárez ; DEPARTAMENTO EN REMATE BENITO JUATEZ PORTALES SUR BELGICA 14 · Galanta Bienes Raíces - ...",https://lamudi.com.mx/distrito-federal/benito-juarez/portales-5/foreclosures/for-sale?page=2,lamudi.com.mx,False,unknown,unknown,False,0.9,No specific listing details provided; only a general search results page with no clear evidence of remate or adjudicated properties with clear legal status.,legal stage unclear|not enough evidence,2026-06-28 03:48:15.513222
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Casa en Venta en Los Portales - Chihuahua,"Tenemos 2 inmuebles en Remates Bancarios en Venta en Los Portales, Chihuahua con amenidades. Descubre la mejor oferta de inmuebles en Remates Bancarios en ...",https://lamudi.com.mx/chihuahua/chihuahua-1/los-portales-1/foreclosures/for-sale,lamudi.com.mx,True,unknown,unknown,False,0.0,"No detailed information about legal stage, possession, or escriturado status found in the snippet or fetched page text.",legal stage unclear|not enough evidence,2026-06-28 03:48:16.777778
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Remate Bancario - Benito Juárez,"DEPARTAMENTO EN VENTA, REMATE BANCARIO, PORTALES, BENITO JUAREZ. $ 1,300,000 ... Parques. Mapa y ubicación de Portales. Descubre como es la vida en Portales.",https://lamudi.com.mx/detalle/41032-73-9bd8f7e87492-f8b2-19ac2b9-9981-74c2,lamudi.com.mx,True,unknown,unknown,False,0.3,"Listing mentions remate bancario but does not provide clear information on legal stage, possession, or escriturado status.",legal stage unclear|no mention of escriturado or possession,2026-06-28 03:48:18.221529
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Gabriela Aguilar Haro - Remates Bancarios de México,Departamento en remate bancario en colonia Portales ...,https://lamudi.com.mx/inmobiliaria/41032-73-4d360a21f287-242-19abc06-a306-7216,lamudi.com.mx,False,unknown,unknown,False,0.0,"No detailed information about legal stage, possession, or escriturado status found in the snippet or fetched page text.",legal stage unclear|not enough evidence,2026-06-28 03:48:19.657120
criteria_0_938c98610b,"site:lamudi.com.mx ""portales"" ""remate""",Inmuebles en Venta en Remates Bancarios en Portales de ...,"Inmuebles en Venta en Remates Bancarios en Portales de La Silla, Guadalupe ; LINDA y AMPLIA CASA DE ADJUDICACION en REMATE en GRAN ZONA DE PLAZAS · Elías ...",https://lamudi.com.mx/nuevo-leon/guadalupe-1/portales-de-la-silla/foreclosures/for-sale,lamudi.com.mx,False,unknown,unknown,False,0.9,"No detailed listing information provided to confirm adjudication, escriturado status, or clear legal stage.",legal stage unclear|not enough evidence,2026-06-28 03:48:20.987883
criteria_0_938c98610b,"site:mercadolibre.com.mx ""portales"" ""remate bancario""",Remates Bancarios Departamentos | MercadoLibre,Remate Bancario Col. Centro Cdmx. Departamento en remate. Remate Bancario Col ... Remate - Departamento Residencial En Venta En Colonia Portales Norte ...,https://listado.mercadolibre.com.mx/remates-bancarios-departamentos,listado.mercadolibre.com.mx,False,unknown,unknown,False,0.9,The listing page is a general search results page without specific property details or legal status information.,legal stage unclear|not enough evidence,2026-06-28 03:48:27.988806
criteria_0_938c98610b,"site:mercadolibre.com.mx ""portales"" ""remate bancario""",Riesgos de comprar casas en remate bancario y cómo ...,... remate bancario y ofrece estrategias prácticas para evitarlos. ... Para enterarse de la existencia de remates futuros se pueden consultar portales ...,https://mercadolibre.com.mx/blog/re-riesgos-de-comprar-casas-en-remate-bancario-y-como-evitarlos,mercadolibre.com.mx,False,unknown,unknown,False,1.0,"The search result is an article about risks of buying remate properties, not a listing of a specific property with clear legal status or possession.",not a property listing|legal stage unclear|no possession information,2026-06-28 03:48:29.691326
criteria_0_938c98610b,"site:mercadolibre.com.mx ""portales"" ""remate bancario""",Departamento En Remate Bancario En Colonia Portales Sur,"Departamento En Remate Bancario En Colonia Portales Sur/ Alcaldía Benito Juárez/ Cdmx. Bélgica 914, Portales Sur, Ciudad de México, Benito Juárez. MXN ...",https://departamento.mercadolibre.com.mx/MLM-2617640695-departamento-en-remate-bancario-en-colonia-portales-sur-alcaldia-benito-juarez-cdmx-_JM,departamento.mercadolibre.com.mx,True,remate bancario,unknown,False,0.3,"Listing mentions remate bancario but does not provide clear information about legal stage, possession, or escriturado status.",legal stage unclear|no mention of escriturado or possession,2026-06-28 03:48:33.190340
